70
0 2 4
0 3 56
0 4 37
0 5 48
0 7 1
0 12 63
0 13 53
0 14 68
0 16 46
0 18 29
0 19 6
0 21 19
0 22 9
0 23 65
0 24 15
0 25 50
0 27 27
0 28 34
0 29 52
0 30 45
0 31 54
0 32 59
0 33 35
0 34 2
0 35 3
0 36 49
0 37 69
0 38 67
0 39 8
0 40 55
0 41 5
0 42 39
0 44 61
0 45 12
0 46 26
0 47 7
0 48 18
0 49 11
0 52 33
0 54 40
0 55 13
0 59 17
0 61 30
0 62 21
0 63 10
0 64 25
0 65 42
0 66 16
0 67 38
0 69 32
1 0 60
1 1 11
1 3 19
1 4 12
1 5 50
1 6 29
1 7 13
1 9 57
1 11 25
1 12 69
1 13 27
1 16 34
1 17 37
1 18 26
1 19 49
1 21 17
1 22 51
1 23 6
1 24 9
1 25 61
1 26 64
1 27 24
1 28 3
1 29 18
1 30 21
1 31 58
1 32 10
1 33 7
1 34 54
1 35 30
1 36 39
1 38 16
1 39 62
1 40 14
1 41 0
1 42 45
1 43 5
1 44 44
1 45 46
1 47 28
1 48 55
1 49 20
1 50 63
1 52 42
1 53 32
1 55 67
1 56 66
1 57 1
1 58 31
1 59 36
1 62 33
1 63 59
1 64 43
1 66 35
1 67 4
1 68 47
1 69 8
2 0 11
2 1 32
2 2 43
2 3 57
2 5 45
2 6 64
2 7 47
2 8 42
2 10 46
2 11 24
2 12 52
2 14 27
2 15 10
2 17 22
2 18 44
2 19 33
2 20 14
2 24 38
2 25 9
2 26 25
2 27 31
2 28 48
2 29 36
2 32 53
2 33 0
2 34 21
2 35 66
2 38 37
2 39 60
2 40 16
2 41 6
2 44 55
2 48 54
2 49 59
2 50 4
2 52 41
2 53 5
2 54 3
2 56 56
2 57 26
2 58 63
2 59 51
2 60 58
2 61 1
2 62 34
2 63 50
2 65 65
2 66 8
2 68 29
2 69 35
3 1 48
3 2 39
3 3 50
3 5 19
3 6 30
3 8 23
3 10 31
3 11 52
3 12 13
3 13 26
3 14 42
3 16 57
3 17 2
3 18 16
3 19 59
3 21 29
3 22 67
3 23 1
3 24 69
3 26 18
3 27 28
3 28 37
3 29 47
3 30 24
3 34 44
3 38 5
3 41 58
3 44 27
3 45 15
3 49 46
3 50 7
3 52 64
3 54 11
3 55 0
3 56 3
3 57 20
3 60 14
3 61 33
3 62 51
3 63 68
3 64 9
3 65 63
3 66 62
3 67 35
3 68 25
3 69 60
4 0 65
4 1 7
4 4 1
4 5 56
4 7 58
4 9 38
4 10 64
4 13 68
4 14 30
4 15 24
4 16 15
4 17 63
4 19 2
4 20 18
4 22 55
4 23 42
4 26 40
4 27 46
4 28 39
4 29 29
4 30 4
4 31 61
4 32 22
4 33 37
4 34 45
4 37 17
4 38 44
4 39 13
4 40 48
4 41 35
4 43 8
4 44 67
4 45 43
4 46 54
4 47 25
4 50 52
4 51 20
4 52 62
4 53 0
4 56 47
4 57 57
4 58 50
4 59 59
4 60 21
4 61 36
4 67 6
4 69 33
5 0 7
5 1 8
5 2 28
5 3 11
5 5 0
5 8 10
5 9 68
5 10 27
5 13 52
5 15 42
5 16 2
5 18 5
5 19 30
5 20 39
5 21 36
5 22 46
5 23 22
5 24 43
5 25 45
5 26 58
5 27 50
5 28 12
5 29 16
5 31 26
5 32 35
5 33 47
5 35 64
5 36 63
5 37 56
5 38 60
5 39 23
5 41 14
5 42 41
5 44 57
5 45 19
5 47 29
5 48 38
5 50 65
5 51 48
5 53 13
5 54 44
5 56 49
5 57 15
5 61 25
5 62 37
5 63 31
5 64 55
5 65 32
5 66 69
5 67 59
5 68 61
5 69 20
6 2 67
6 4 68
6 5 13
6 6 35
6 7 55
6 9 44
6 10 22
6 11 18
6 12 41
6 14 69
6 16 63
6 17 59
6 18 58
6 19 36
6 21 50
6 23 24
6 24 33
6 25 7
6 26 34
6 27 60
6 28 46
6 29 28
6 30 8
6 32 56
6 34 64
6 35 0
6 36 42
6 37 23
6 38 47
6 39 32
6 40 19
6 41 39
6 43 38
6 44 17
6 45 49
6 46 62
6 47 1
6 48 61
6 50 40
6 51 57
6 55 31
6 56 45
6 57 52
6 58 26
6 59 2
6 60 27
6 62 10
6 63 4
6 66 48
6 67 54
6 68 3
6 69 16
7 3 42
7 4 34
7 5 68
7 7 48
7 9 49
7 11 7
7 12 19
7 13 35
