60
0 4 8
0 6 27
0 11 41
0 12 24
0 15 5
0 21 42
0 22 33
0 31 15
0 33 54
0 34 12
0 37 45
0 43 19
0 50 59
0 51 47
0 52 2
0 53 44
0 58 3
1 4 16
1 7 12
1 10 50
1 11 9
1 19 45
1 23 5
1 27 57
1 28 51
1 29 10
1 31 25
1 32 0
1 33 27
1 34 7
1 35 2
1 36 34
1 41 3
1 44 42
1 53 43
1 57 11
1 58 6
2 3 38
2 6 25
2 7 37
2 14 23
2 18 35
2 20 40
2 22 9
2 24 6
2 25 31
2 35 30
2 37 53
2 40 14
2 47 46
2 49 41
2 51 24
2 55 11
3 3 25
3 6 59
3 8 17
3 15 44
3 17 13
3 20 35
3 24 40
3 26 55
3 29 56
3 31 45
3 36 11
3 38 14
3 39 43
3 40 20
3 52 31
3 56 22
3 57 33
3 59 7
4 7 36
4 12 42
4 15 0
4 16 15
4 17 12
4 18 24
4 20 19
4 21 59
4 22 31
4 27 6
4 29 25
4 35 33
4 37 3
4 39 49
4 40 34
4 42 10
4 43 30
4 46 50
4 48 11
4 49 32
4 50 18
5 1 37
5 3 21
5 4 55
5 5 24
5 7 46
5 8 9
5 15 26
5 16 13
5 17 44
5 20 49
5 25 54
5 28 50
5 29 19
5 30 39
5 36 8
5 38 33
5 41 57
5 43 40
5 56 29
5 57 6
5 58 23
5 59 27
6 1 35
6 3 48
6 4 46
6 6 15
6 15 21
6 16 34
6 18 47
6 19 9
6 20 50
6 22 13
6 23 2
6 24 23
6 25 12
6 28 49
6 31 54
6 32 11
6 33 30
6 40 40
6 44 41
6 45 56
6 46 7
6 51 52
6 56 19
7 1 43
7 3 56
7 4 54
7 7 51
7 9 37
7 11 7
7 12 0
7 13 13
7 17 10
7 18 57
7 19 8
7 23 45
7 31 31
7 34 59
7 36 5
7 37 9
7 42 16
7 46 58
7 47 52
7 51 12
7 53 24
7 55 39
7 57 15
8 0 30
8 1 38
8 3 10
8 9 18
8 15 51
8 16 6
8 17 28
8 18 7
8 24 9
8 28 52
8 39 5
8 44 40
8 46 36
8 56 8
9 2 43
9 3 6
9 5 50
9 12 16
9 13 1
9 18 21
9 22 55
9 26 57
9 29 36
9 33 39
9 34 15
9 35 38
9 37 42
9 40 33
9 44 12
9 54 18
10 6 54
10 14 39
10 15 30
10 21 46
10 30 2
10 33 58
10 37 4
10 41 28
10 42 45
10 47 29
10 50 21
10 53 55
10 54 47
10 57 9
11 3 5
11 4 6
11 6 11
11 7 28
11 9 56
11 14 37
11 17 42
11 20 14
11 21 54
11 22 46
11 31 52
11 32 23
11 38 1
11 44 0
11 46 30
11 48 41
11 49 36
11 50 7
11 54 57
12 8 15
12 10 48
12 14 31
12 15 11
12 19 42
12 21 19
12 23 49
12 24 52
12 26 18
12 31 47
12 37 29
12 40 21
12 44 43
12 45 40
12 47 8
12 48 30
12 59 28
13 4 47
13 6 10
13 11 30
13 14 56
13 15 45
13 18 33
13 20 58
13 23 27
13 24 28
13 26 5
13 28 18
13 36 6
13 37 22
13 39 35
13 41 15
13 42 51
13 45 39
13 46 14
13 47 23
13 56 41
14 0 24
14 3 23
14 9 1
14 20 29
14 22 18
14 23 30
14 30 51
14 31 2
14 39 46
14 44 52
14 46 13
14 47 59
14 55 25
15 3 34
15 4 15
15 16 21
15 19 24
15 21 11
15 27 23
15 30 49
15 37 59
15 38 2
15 41 9
15 43 0
15 45 36
15 59 54
16 0 42
16 1 22
16 12 50
16 14 33
16 17 38
16 18 9
16 24 37
16 26 47
16 30 11
16 34 39
16 35 6
16 37 5
16 45 46
16 48 48
16 54 0
16 56 10
17 2 49
17 10 6
17 12 5
17 14 30
17 18 43
17 19 51
17 22 24
17 24 22
17 29 9
17 31 44
17 34 45
17 45 53
17 46 26
17 54 14
17 59 47
18 0 58
18 2 55
18 3 51
18 11 56
18 16 48
18 17 39
18 19 28
18 20 34
18 27 18
18 41 41
18 42 15
18 43 44
18 45 19
18 49 24
18 55 45
18 57 53
19 6 20
19 12 37
19 16 25
19 21 38
19 25 10
19 26 26
19 27 16
19 34 55
19 44 9
19 47 11
19 49 47
19 51 46
19 56 2
19 57 19
20 2 28
20 4 58
20 7 0
20 8 53
20 13 26
20 19 17
20 22 20
20 29 40
20 36 48
20 37 56
20 43 5
20 44 19
20 50 41
20 52 54
20 59 46
21 3 59
21 6 29
21 7 33
21 11 27
21 13 58
21 16 5
21 17 15
21 20 17
21 24 18
21 28 1
21 29 37
21 34 48
21 35 4
21 38 24
21 39 6
21 52 22
21 57 49
21 58 9
22 0 49
22 2 39
22 3 28
22 6 30
22 9 23
22 14 36
22 17 37
22 19 58
22 22 59
22 28 41
22 29 46
22 31 11
22 33 6
22 38 51
22 46 12
22 47 2
22 48 0
22 50 5
22 53 17
22 56 1
22 59 8
23 0 11
23 10 39
23 14 34
23 15 41
23 17 36
23 19 57
23 20 28
23 22 1
23 23 46
23 32 30
23 36 47
23 37 20
23 39 12
23 40 25
23 44 2
23 46 35
23 48 52
23 49 15
23 50 43
23 52 38
24 3 31
24 11 58
24 16 33
24 19 6
24 20 12
24 26 54
24 27 8
24 28 3
24 33 57
24 39 59
24 40 44
24 41 46
24 42 39
24 45 51
24 55 41
24 57 23
24 58 55
25 0 26
25 2 34
25 4 2
25 7 21
25 13 19
25 14 48
25 16 22
25 26 11
25 30 58
25 31 6
25 32 18
25 34 50
25 41 33
25 45 47
25 49 25
25 50 12
25 58 17
26 0 27
26 14 7
26 19 32
26 21 16
26 28 12
26 30 5
26 35 1
26 38 13
26 43 15
26 47 49
26 51 30
26 56 47
27 1 9
27 6 34
27 11 49
27 15 15
27 16 47
27 20 1
27 23 36
27 24 21
27 26 14
27 29 12
27 34 40
27 38 46
27 44 31
27 53 23
27 54 2
27 55 57
27 57 32
27 59 0
28 8 45
28 13 21
28 16 50
28 21 51
28 23 9
28 25 22
28 28 2
28 34 16
28 35 52
28 39 32
28 40 6
28 43 18
28 44 11
28 49 54
28 50 37
28 52 4
28 58 15
29 0 36
29 1 51
29 2 10
29 6 37
29 9 16
29 13 15
29 18 12
29 21 40
29 25 38
29 28 24
29 29 34
29 33 1
29 48 32
29 50 6
29 54 52
29 55 42
29 57 7
29 59 41
30 2 15
30 3 14
30 11 3
30 13 0
30 18 17
30 20 26
30 23 1
30 26 49
30 37 8
30 38 31
30 39 38
30 45 22
30 48 40
30 54 9
30 59 23
31 2 4
31 3 54
31 12 44
31 13 40
31 14 50
31 15 47
31 16 36
31 20 27
31 22 19
31 25 51
31 26 35
31 27 10
31 34 1
31 35 21
31 40 55
31 41 22
31 42 58
31 47 39
31 48 12
31 55 49
32 3 46
32 8 51
32 9 19
32 10 1
32 11 38
32 12 26
32 15 34
32 16 10
32 18 45
32 19 27
32 22 17
32 24 50
32 28 8
32 31 18
32 33 2
32 35 32
32 36 15
32 39 31
32 42 42
32 49 23
32 59 35
33 0 1
33 9 7
33 10 52
33 18 20
33 19 50
33 20 38
33 21 23
33 24 25
33 28 14
33 30 53
33 33 15
33 36 30
33 37 17
33 38 39
33 40 26
33 41 4
33 42 6
33 44 58
33 48 18
33 49 16
33 58 13
33 59 29
34 1 46
34 6 19
34 9 31
34 12 12
34 14 59
34 16 54
34 19 29
34 21 25
34 22 30
34 24 51
34 25 26
34 26 53
34 27 32
34 30 40
34 31 13
34 34 44
34 40 1
34 42 43
34 43 52
34 48 38
34 49 58
34 57 21
34 58 57
35 1 19
35 6 40
35 14 25
35 17 47
35 22 36
35 23 14
35 25 57
35 26 31
35 37 58
35 38 34
35 40 35
35 43 32
35 44 39
35 45 59
35 46 45
35 47 27
35 52 6
35 53 12
35 54 11
35 56 3
35 57 54
36 0 10
36 2 33
36 4 24
36 11 50
36 21 37
36 24 27
36 25 49
36 29 17
36 31 48
36 36 45
36 37 13
36 38 52
36 40 2
36 41 58
36 42 11
36 46 34
36 47 36
36 56 25
37 4 12
37 7 7
37 8 10
37 10 4
37 13 8
37 18 41
37 20 54
37 24 58
37 27 53
37 29 55
37 39 52
37 43 48
37 44 22
37 45 16
37 47 32
37 52 51
37 57 25
38 0 53
38 4 28
38 7 58
38 8 6
38 9 39
38 12 17
38 23 26
38 27 30
38 32 45
38 37 38
38 38 4
38 39 41
38 59 34
39 0 2
39 4 50
39 5 27
39 9 14
39 10 15
39 13 49
39 16 42
39 26 44
39 27 38
39 35 37
39 36 19
39 39 18
39 43 41
39 44 54
39 50 31
39 51 35
39 53 57
39 57 13
39 58 22
40 2 32
40 5 6
40 20 5
40 22 58
40 24 20
40 28 47
40 29 7
40 30 30
40 38 43
40 39 28
40 41 40
40 42 35
40 45 25
40 47 21
40 49 39
40 56 11
40 59 31
41 3 9
41 7 45
41 12 32
41 13 25
41 15 39
41 18 19
41 26 22
41 30 20
41 31 7
41 32 55
41 34 2
41 37 48
41 38 30
41 42 23
41 54 49
41 59 16
42 4 48
42 12 31
42 13 39
42 22 32
42 28 0
42 30 19
42 31 42
42 37 54
42 44 46
42 45 9
42 49 34
42 50 38
42 52 57
42 54 13
42 55 35
43 8 59
43 15 9
43 16 2
43 17 5
43 19 15
43 21 41
43 22 10
43 28 29
43 43 39
43 45 27
43 50 30
43 51 22
43 55 38
43 56 54
43 57 45
43 58 34
43 59 57
44 3 8
44 8 5
44 13 37
44 15 22
44 16 39
44 19 30
44 24 53
44 27 19
44 33 24
44 34 57
44 35 28
44 39 15
44 42 33
44 46 18
44 47 55
44 51 41
44 52 23
44 55 50
44 56 6
44 58 25
44 59 48
45 7 23
45 9 58
45 11 13
45 12 33
45 13 14
45 15 46
45 20 20
45 27 4
45 29 22
45 33 0
45 42 52
45 45 43
45 47 38
45 51 18
45 52 24
45 54 29
45 56 36
45 57 16
45 59 26
46 0 23
46 3 44
46 4 45
46 7 26
46 13 31
46 15 43
46 17 16
46 20 39
46 21 9
46 22 6
46 27 58
46 30 59
46 32 4
46 38 53
46 40 46
46 41 35
46 42 0
46 52 42
46 57 29
46 58 54
47 2 19
47 4 33
47 5 28
47 16 18
47 24 54
47 25 53
47 29 2
47 37 34
47 45 26
47 46 0
47 48 20
47 49 49
47 50 58
47 51 17
47 54 16
47 56 50
47 58 36
48 1 39
48 2 24
48 5 15
48 8 30
48 12 46
48 17 18
48 18 22
48 20 13
48 21 32
48 25 34
48 27 26
48 30 6
48 37 35
48 45 12
48 46 28
48 49 56
48 50 44
48 52 52
48 54 23
49 0 34
49 3 13
49 9 35
49 13 45
49 15 25
49 18 36
49 21 27
49 22 22
49 25 21
49 27 20
49 30 29
49 32 24
49 37 37
49 38 44
49 39 33
49 40 43
49 42 30
49 46 52
49 49 51
49 50 1
49 53 10
50 7 38
50 9 5
50 15 42
50 16 23
50 17 49
50 24 32
50 28 11
50 30 57
50 32 17
50 34 28
50 37 55
50 39 21
50 42 1
50 48 51
50 51 14
50 52 34
50 54 19
51 2 45
51 8 46
51 9 33
51 11 48
51 15 2
51 16 19
51 18 52
51 21 29
51 23 50
51 24 8
51 28 37
51 36 31
51 37 51
51 39 54
51 43 43
51 51 6
51 58 11
51 59 25
52 1 25
52 6 47
52 9 30
52 11 1
52 15 6
52 16 40
52 18 49
52 21 10
52 22 0
52 29 16
52 35 51
52 43 11
52 44 29
52 45 37
52 50 42
52 57 5
53 3 53
53 8 21
53 17 8
53 19 44
53 21 49
53 22 35
53 23 3
53 37 32
53 43 23
53 45 31
53 46 27
53 48 50
53 53 25
53 54 4
53 59 52
54 3 58
54 4 42
54 10 12
54 12 22
54 17 29
54 18 2
54 19 16
54 20 45
54 24 19
54 28 33
54 29 26
54 35 35
54 43 17
54 49 4
54 51 43
54 56 30
54 57 55
54 58 20
54 59 15
55 8 34
55 9 21
55 10 47
55 13 36
55 14 45
55 17 54
55 25 46
55 26 23
55 28 53
55 31 32
55 32 27
55 34 38
55 40 5
55 41 10
55 42 2
55 44 3
55 47 33
55 49 18
55 56 49
55 58 41
56 2 22
56 3 43
56 4 32
56 5 41
56 7 42
56 8 54
56 9 13
56 10 45
56 12 27
56 13 51
56 16 12
56 19 1
56 21 48
56 23 52
56 24 0
56 28 30
56 29 28
56 31 4
56 32 2
56 34 19
56 36 36
56 37 26
56 45 20
56 48 16
56 49 46
56 50 15
56 51 25
56 55 6
56 57 40
57 1 49
57 3 45
57 6 35
57 9 29
57 10 14
57 13 46
57 15 40
57 16 57
57 19 56
57 20 47
57 26 30
57 31 19
57 32 58
57 34 0
57 35 53
57 36 21
57 39 17
57 42 8
57 43 6
57 53 16
58 0 59
58 5 19
58 7 44
58 13 48
58 20 7
58 21 39
58 22 15
58 32 28
58 35 25
58 41 31
58 44 17
58 45 2
58 48 4
58 52 29
58 55 51
58 56 5
58 57 26
58 58 43
59 5 11
59 7 54
59 12 28
59 14 2
59 16 46
59 18 51
59 21 0
59 24 34
59 27 1
59 28 26
59 34 18
59 37 6
59 41 55
59 48 5
59 49 13
59 54 44
59 58 45
